BlockID StartX[Km] EndX[Km]
@95-blockSets1@ 28.148 28.448
@96-blockSets1@ 28.448 28.748
@97-blockSets1@ 28.748 29.048
@98-blockSets1@ 29.048 29.298
@99-blockSets1@ 29.298 29.498
@100-blockSets1@ 29.498 29.818
@101-blockSets1@ 29.818 30.138
@102-blockSets1@ 30.138 30.458
@103-blockSets1@ 30.458 30.778
@104-blockSets1@ 30.778 31.098
@105-blockSets1@ 31.098 31.398
@106-blockSets1@ 31.398 31.699
@107-blockSets1@ 31.699 32
@108-blockSets1@ 32 32.301
@109-blockSets1@ 32.301 32.602
@110-blockSets1@ 32.602 32.903
@111-blockSets1@ 32.903 33.204
@112-blockSets1@ 33.204 33.505
@113-blockSets1@ 33.505 33.806
@114-blockSets1@ 33.806 34.107
@115-blockSets1@ 34.107 34.408
@116-blockSets1@ 34.408 34.659
@117-blockSets1@ 34.659 34.96
@118-blockSets1@ 34.96 35.261
@119-blockSets1@ 35.261 35.562
@120-blockSets1@ 35.562 35.863
@121-blockSets1@ 35.863 36.164
@122-blockSets1@ 36.164 36.465
@123-blockSets1@ 36.465 36.766
@124-blockSets1@ 36.766 37.067
@125-blockSets1@ 37.067 37.298
@126-blockSets1@ 37.298 37.598
@127-blockSets1@ 37.598 37.848
@128-blockSets1@ 37.848 38.038
@129-blockSets1@ 38.038 38.389
@130-blockSets1@ 38.389 38.74
@131-blockSets1@ 38.74 39.091
@132-blockSets1@ 39.091 39.402
@133-blockSets1@ 39.402 39.703
@134-blockSets1@ 39.703 40.004
@135-blockSets1@ 40.004 40.265
@136-blockSets1@ 40.265 40.566
@137-blockSets1@ 40.566 40.867
@138-blockSets1@ 40.867 41.068
@139-blockSets1@ 41.068 41.319
@140-blockSets1@ 41.319 41.65
@141-blockSets1@ 41.65 41.901
@142-blockSets1@ 41.901 42.202
@143-blockSets1@ 42.202 42.503
@144-blockSets1@ 42.503 42.804
@145-blockSets1@ 42.804 43.105
@146-blockSets1@ 43.105 43.406
@147-blockSets1@ 43.406 43.707
@148-blockSets1@ 43.707 44.008
@149-blockSets1@ 44.008 44.209
@150-blockSets1@ 44.209 44.51
@151-blockSets1@ 44.51 44.931
@152-blockSets1@ 44.931 45.112
@153-blockSets1@ 45.112 45.413
@154-blockSets1@ 45.413 45.714
@155-blockSets1@ 45.714 46.015
@156-blockSets1@ 46.015 46.316
@157-blockSets1@ 46.316 46.617
@158-blockSets1@ 46.617 46.918
@159-blockSets1@ 46.918 47.119
@160-blockSets1@ 47.119 47.32
@161-blockSets1@ 47.32 47.621
@162-blockSets1@ 47.621 47.922
@163-blockSets1@ 47.922 48.223
@164-blockSets1@ 48.223 48.524
@165-blockSets1@ 48.524 48.825
@166-blockSets1@ 48.825 49.126
@167-blockSets1@ 49.126 49.427
@168-blockSets1@ 49.427 49.728
@169-blockSets1@ 49.728 50.029
@170-blockSets1@ 50.029 50.33
@171-blockSets1@ 50.33 50.631
@172-blockSets1@ 50.631 50.932
@173-blockSets1@ 50.932 51.233
@174-blockSets1@ 51.233 51.534
@175-blockSets1@ 51.534 51.835
@176-blockSets1@ 51.835 52.136
@177-blockSets1@ 52.136 52.437
@178-blockSets1@ 52.437 52.738
@179-blockSets1@ 52.738 53.039
@180-blockSets1@ 53.039 53.34
@181-blockSets1@ 53.34 53.641
@182-blockSets1@ 53.641 53.942
