BlockID StartX[Km] EndX[Km]
@71-blockSets29@ 27.956 28.386
@72-blockSets29@ 28.386 28.816
@73-blockSets29@ 28.816 29.246
@74-blockSets29@ 29.246 29.676
@75-blockSets29@ 29.676 30.106
@76-blockSets29@ 30.106 30.536
@77-blockSets29@ 30.536 30.589
@78-blockSets29@ 30.589 30.6075
@79-blockSets29@ 30.6075 30.626
@80-blockSets29@ 30.626 30.665
@81-blockSets29@ 30.665 31.197
@82-blockSets29@ 31.197 31.258
@83-blockSets29@ 31.258 31.396
@84-blockSets29@ 31.396 31.4425
@85-blockSets29@ 31.4425 31.465
@86-blockSets29@ 31.465 31.473
@87-blockSets29@ 31.473 32.336
@88-blockSets29@ 32.336 33.116
@89-blockSets29@ 33.116 33.546
@90-blockSets29@ 33.546 33.976
@91-blockSets29@ 33.976 34.406
@92-blockSets29@ 34.406 34.836
@93-blockSets29@ 34.836 35.266
@94-blockSets29@ 35.266 35.696
@95-blockSets29@ 35.696 36.126
@96-blockSets29@ 36.126 36.556
@97-blockSets29@ 36.556 36.653
@98-blockSets29@ 36.653 36.7905
@99-blockSets29@ 36.7905 36.986
@100-blockSets29@ 36.986 37.416
@101-blockSets29@ 37.416 37.846
@102-blockSets29@ 37.846 38.276
@103-blockSets29@ 38.276 38.706
@104-blockSets29@ 38.706 39.136
@105-blockSets29@ 39.136 39.566
@106-blockSets29@ 39.566 39.996
@107-blockSets29@ 39.996 40.426
@108-blockSets29@ 40.426 40.856
@109-blockSets29@ 40.856 41.286
@110-blockSets29@ 41.286 41.716
@111-blockSets29@ 41.716 42.146
@112-blockSets29@ 42.146 42.576
@113-blockSets29@ 42.576 42.7745
@114-blockSets29@ 42.7745 42.9155
@115-blockSets29@ 42.9155 43.006
@116-blockSets29@ 43.006 43.436
@117-blockSets29@ 43.436 43.866
@118-blockSets29@ 43.866 44.296
@119-blockSets29@ 44.296 44.726
@120-blockSets29@ 44.726 45.156
@121-blockSets29@ 45.156 45.586
@122-blockSets29@ 45.586 46.016
@123-blockSets29@ 46.016 46.0795
@124-blockSets29@ 46.0795 46.446
@125-blockSets29@ 46.446 46.71
@126-blockSets29@ 46.71 46.792
@127-blockSets29@ 46.792 46.876
@128-blockSets29@ 46.876 47.122
@129-blockSets29@ 47.122 47.306
@130-blockSets29@ 47.306 47.736
@131-blockSets29@ 47.736 48.166
@132-blockSets29@ 48.166 48.596
@133-blockSets29@ 48.596 49.026
@134-blockSets29@ 49.026 49.228
@0-blockSets30@ 1.122 1.552
@1-blockSets30@ 1.552 1.587
@2-blockSets30@ 1.587 1.609
@3-blockSets30@ 1.609 1.631
@4-blockSets30@ 1.631 1.654
@5-blockSets30@ 1.654 1.677
@6-blockSets30@ 1.677 1.6985
@7-blockSets30@ 1.6985 1.73
@8-blockSets30@ 1.73 1.982
@9-blockSets30@ 1.982 2.17
@0-blockSets31@ 1.254 1.57
@1-blockSets31@ 1.57 1.604
@2-blockSets31@ 1.604 1.631
@3-blockSets31@ 1.631 1.684
@4-blockSets31@ 1.684 1.72
@5-blockSets31@ 1.72 1.7425
@6-blockSets31@ 1.7425 1.765
@7-blockSets31@ 1.765 1.85
@8-blockSets31@ 1.85 2.511
@9-blockSets31@ 2.511 3.172
@10-blockSets31@ 3.172 3.834
@11-blockSets31@ 3.834 4.109
@12-blockSets31@ 4.109 4.451
@13-blockSets31@ 4.451 4.65
@14-blockSets31@ 4.65 4.932
@15-blockSets31@ 4.932 5.458
@16-blockSets31@ 5.458 5.984
@17-blockSets31@ 5.984 6.414
@18-blockSets31@ 6.414 6.844
@19-blockSets31@ 6.844 7.274
@20-blockSets31@ 7.274 7.414
@0-blockSets32@ 1.254 1.56
@1-blockSets32@ 1.56 1.587
@2-blockSets32@ 1.587 1.614
@3-blockSets32@ 1.614 1.6485
@4-blockSets32@ 1.6485 1.676
@5-blockSets32@ 1.676 1.748
@6-blockSets32@ 1.748 1.85
@7-blockSets32@ 1.85 2.511
@8-blockSets32@ 2.511 3.172
@9-blockSets32@ 3.172 3.834
@10-blockSets32@ 3.834 3.978
@0-blockSets33@ 1.254 1.684
@1-blockSets33@ 1.684 1.7035
@2-blockSets33@ 1.7035 1.7375
@3-blockSets33@ 1.7375 1.765
@4-blockSets33@ 1.765 1.7875
@5-blockSets33@ 1.7875 1.81
@0-blockSets34@ 1.361 1.471
@1-blockSets34@ 1.471 1.581
@0-blockSets35@ 1.42 1.472
@1-blockSets35@ 1.472 1.524
@0-blockSets36@ 1.572 1.587
@1-blockSets36@ 1.587 1.602
@0-blockSets37@ 1.616 1.631
@1-blockSets37@ 1.631 1.646
@0-blockSets38@ 1.618 1.647
@1-blockSets38@ 1.647 1.676
@2-blockSets38@ 1.676 1.698
@3-blockSets38@ 1.698 1.72
@4-blockSets38@ 1.72 1.7425
@5-blockSets38@ 1.7425 1.765
@6-blockSets38@ 1.765 1.7905
@7-blockSets38@ 1.7905 2.048
@8-blockSets38@ 2.048 2.171
@0-blockSets39@ 1.661 1.676
@1-blockSets39@ 1.676 1.691
@0-blockSets40@ 1.662 1.677
@1-blockSets40@ 1.677 1.692
@0-blockSets41@ 1.705 1.72
@1-blockSets41@ 1.72 1.735
@0-blockSets42@ 1.72 1.7425
@1-blockSets42@ 1.7425 1.765
@2-blockSets42@ 1.765 2.055
@0-blockSets43@ 1.75 2.169
