BlockID StartX[Km] EndX[Km]
@2-blockSets19@ 46.097 46.2
@0-blockSets20@ 44.91 45.04
@1-blockSets20@ 45.04 45.79
@2-blockSets20@ 45.79 45.9
@0-blockSets21@ 45.9 46.098
@0-blockSets22@ 46.1 46.3
@0-blockSets23@ 32.4 32.5
@1-blockSets23@ 32.5 32.774
@2-blockSets23@ 32.774 32.982
@0-blockSets24@ 32.65 32.774
@1-blockSets24@ 32.774 32.982
@0-blockSets25@ 32.5 32.905
@1-blockSets25@ 32.905 33.3
@2-blockSets25@ 33.3 33.322
@0-blockSets26@ 32.7 32.735
@1-blockSets26@ 32.735 32.905
@2-blockSets26@ 32.905 33.322
@3-blockSets26@ 33.322 33.5
@0-blockSets27@ 63.361 63.887
@1-blockSets27@ 63.887 64.214
@2-blockSets27@ 64.214 64.794
@3-blockSets27@ 64.794 65.6
@4-blockSets27@ 65.6 65.725
@5-blockSets27@ 65.725 66.13
@6-blockSets27@ 66.13 66.16
@0-blockSets28@ 65.6 65.64
@1-blockSets28@ 65.64 65.725
@2-blockSets28@ 65.725 66.287
@3-blockSets28@ 66.287 66.43
@0-blockSets29@ 65.7 65.73
@1-blockSets29@ 65.73 66.324
@2-blockSets29@ 66.324 66.4
@0-blockSets30@ 65.76 65.782
@1-blockSets30@ 65.782 66.1
@2-blockSets30@ 66.1 66.215
@0-blockSets31@ 65.715 65.73
@1-blockSets31@ 65.73 65.78
@2-blockSets31@ 65.78 66.1
@3-blockSets31@ 66.1 66.215
@0-blockSets32@ 65.725 65.78
@1-blockSets32@ 65.78 66.19
@2-blockSets32@ 66.19 66.245
@3-blockSets32@ 66.245 66.3
@4-blockSets32@ 66.3 66.45
@0-blockSets33@ 65.76 65.797
@1-blockSets33@ 65.797 66.225
@2-blockSets33@ 66.225 66.3
@0-blockSets34@ 65.78 65.81
@1-blockSets34@ 65.81 66.225
@2-blockSets34@ 66.225 66.3
@0-blockSets35@ 70.83 70.9
@1-blockSets35@ 70.9 71.4
@2-blockSets35@ 71.4 71.43
@3-blockSets35@ 71.43 71.5
@0-blockSets36@ 70.82 70.9
@1-blockSets36@ 70.9 71.419
@2-blockSets36@ 71.419 71.5
@0-blockSets37@ 71.7 71.84
@1-blockSets37@ 71.84 71.95
@2-blockSets37@ 71.95 72.3
@1-blockSets0@-11.340000/@1-blockSets1@-11.420000 10.987 11.676
@1-blockSets0@-11.590000/@0-blockSets3@-11.676000 10.987 11.846
@2-blockSets0@-12.980000/@2-blockSets1@-13.060000 12.543 13.67
@14-blockSets0@-30.060000/@15-blockSets1@-30.200000 29.055 30.893
@18-blockSets0@-33.676000/@18-blockSets1@-33.746000 33.606 33.76
@1-blockSets1@-11.500000/@1-blockSets0@-11.590000 10.156 12.543
@1-blockSets1@-11.590000/@1-blockSets2@-11.676000 10.156 12.543
@2-blockSets1@-13.060000/@2-blockSets2@-13.140000 11.676 14.081
@2-blockSets1@-13.140000/@2-blockSets0@-13.220000 11.676 14.081
@6-blockSets1@-19.423000/@6-blockSets0@-19.507000 18.033 20.354
@11-blockSets1@-26.430000/@0-blockSets10@-26.490000 25.208 26.534
@15-blockSets1@-30.050000/@0-blockSets14@-30.200000 29.47 30.57
@15-blockSets1@-30.220000/@0-blockSets13@-30.332000 29.47 30.952
@17-blockSets1@-32.714000/@16-blockSets0@-32.764000 32.419 32.816
@19-blockSets1@-33.790000/@19-blockSets0@-33.815000 33.76 33.885
@1-blockSets2@-11.420000/@1-blockSets1@-11.500000 10.987 11.676
